location,date,new_cases,new_deaths,population,aged_65_older_percent,gdp_per_capita,hospital_beds_per_thousand
Afghanistan,31/12/2019,0,0,38928341,2.581,1803.987,0.5
Afghanistan,01/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,02/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,03/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,04/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,05/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,06/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,07/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,08/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,09/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,10/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,11/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,12/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,13/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,14/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,15/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,16/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,17/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,18/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,19/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,20/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,21/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,22/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,23/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,24/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,25/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,26/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,27/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,28/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,29/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,30/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,31/01/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,01/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,02/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,03/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,04/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,05/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,06/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,07/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,08/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,09/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,10/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,11/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,12/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,13/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,14/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,15/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,16/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,17/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,18/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,19/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,20/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,21/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,22/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,23/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,24/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,25/02/2020,1,0,38928341,2.581,1803.987,0.5
Afghanistan,26/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,27/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,28/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,29/02/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,01/03/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,02/03/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,08/03/2020,3,0,38928341,2.581,1803.987,0.5
Afghanistan,11/03/2020,3,0,38928341,2.581,1803.987,0.5
